TransactionID,Rural,Urban,Suburban,Milk,Bread,Eggs,Cheese,Rice,Pasta/Noodles,Shampoo,Detergent,Chips,Chocolate,Juice,Vegetables,Fruits
65,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
66,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
67,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
68,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1
69,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1
70,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1
72,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
73,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
74,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1
75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
76,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0
77,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
78,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1
79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
80,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
81,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1
82,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1
83,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1
84,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
85,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1
86,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
87,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
88,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1
89,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
91,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
92,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1
93,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1
94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
96,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
98,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1
99,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
101,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
102,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
103,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
104,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
105,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1
108,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1
109,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
110,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1
